date,home,away,side,model_prob,market_prob,edge,clv,odds,won,profit
2021-05-26,TB,KC,HOME,0.6880212978901046,0.6423597728615843,0.04566152502852028,4.566152502852027,1.534,False,-100.0
2021-05-26,BOS,ATL,AWAY,0.6365939174411244,0.5024570148023836,0.13413690263874078,13.413690263874079,1.952,True,95.19999999999999
2021-05-26,NYY,TOR,AWAY,0.46365829391939184,0.3891141427426321,0.07454415117675972,7.454415117675972,2.5,True,150.0
2021-05-26,WSH,CIN,AWAY,0.35770022703627613,0.33942257431657263,0.018277652719703497,1.8277652719703497,2.84,True,184.0
2021-05-26,MIA,PHI,HOME,0.6747782672632425,0.5741549873972981,0.10062327986594444,10.062327986594443,1.714,False,-100.0
2021-05-26,PIT,CHC,AWAY,0.8196118866529305,0.5579765538252083,0.2616353328277222,26.16353328277222,1.763,True,76.29999999999998
2021-05-27,TB,KC,HOME,0.6880212978901046,0.6079396923825157,0.08008160550758892,8.008160550758891,1.621,True,62.1
2021-05-27,DET,CLE,HOME,0.5615053349459249,0.3868995802139555,0.17460575473196943,17.460575473196943,2.51,False,-100.0
2021-05-27,MIL,SD,AWAY,0.6924828856045497,0.5146044750005145,0.1778784106040352,17.78784106040352,1.909,False,-100.0
2021-05-27,PIT,CHC,AWAY,0.8196118866529305,0.5687052855469239,0.2509066011060066,25.09066011060066,1.729,True,72.9
2021-05-27,MIA,PHI,HOME,0.6747782672632425,0.5628697350572157,0.11190853220602681,11.190853220602682,1.746,False,-100.0
2021-05-27,ARI,SF,AWAY,0.6942246130575259,0.5251383739615388,0.16908623909598708,16.90862390959871,1.869,True,86.9
2021-05-27,HOU,LAD,AWAY,0.6189303943713766,0.6079396923825157,0.010990701988860985,1.0990701988860985,1.621,False,-100.0
2021-05-27,MIL,SD,AWAY,0.6924828856045497,0.529672238818619,0.1628106467859307,16.281064678593072,1.854,True,85.4
2021-05-27,NYM,COL,AWAY,0.5401518166702335,0.4522758520877053,0.08787596458252817,8.787596458252816,2.16,True,116.00000000000001
2021-05-27,BOS,ATL,AWAY,0.6365939174411244,0.4260504273285786,0.21054349011254575,21.054349011254576,2.29,False,-100.0
2021-05-27,DET,CLE,HOME,0.5615053349459249,0.4596031786155833,0.10190215633034161,10.19021563303416,2.13,True,112.99999999999999
2021-05-27,TB,KC,HOME,0.6880212978901046,0.655342350844081,0.03267894704602359,3.2678947046023588,1.505,True,50.499999999999986
2021-05-27,NYY,TOR,AWAY,0.46365829391939184,0.4296898498663665,0.03396844405302535,3.396844405302535,2.27,True,127.0
2021-05-27,WSH,CIN,HOME,0.6422997729637239,0.5687052855469239,0.07359448741679997,7.359448741679997,1.729,False,-100.0
2021-05-27,PIT,CHC,AWAY,0.8196118866529305,0.5499491297055022,0.26966275694742825,26.966275694742826,1.787,True,78.69999999999999
2021-05-27,MIA,PHI,HOME,0.6747782672632425,0.3837372167539669,0.29104105050927565,29.104105050927565,2.53,True,152.99999999999997
2021-05-28,CHC,CIN,HOME,0.7805863225134186,0.6518989817337906,0.12868734077962807,12.868734077962806,1.512,True,51.2
2021-05-28,WSH,MIL,AWAY,0.5447889322981734,0.47621995647349596,0.06856897582467741,6.856897582467742,2.06,True,106.0
2021-05-28,LAD,SF,AWAY,0.4483967420125504,0.41700548362210965,0.03139125839044077,3.139125839044077,2.34,False,-100.0
2021-05-28,SEA,TEX,HOME,0.5405859218786702,0.5000975190162081,0.040488402862462025,4.048840286246202,1.961,True,96.10000000000001
2021-05-28,ARI,STL,HOME,0.5048726066857407,0.4879167418871644,0.01695586479857636,1.6955864798576359,2.01,False,-100.0
2021-05-28,OAK,LAA,HOME,0.6624306466586958,0.656659180752006,0.0057714659066897545,0.5771465906689754,1.502,True,50.2
2021-05-28,CWS,BAL,AWAY,0.4193668736002173,0.3252984613382779,0.0940684122619394,9.40684122619394,2.96,False,-100.0
2021-05-29,BOS,MIA,AWAY,0.559074121715665,0.39227839212932636,0.1667957295863386,16.67957295863386,2.48,False,-100.0
2021-05-29,DET,NYY,AWAY,0.6595478575403493,0.5499491297055022,0.10959872783484703,10.959872783484704,1.787,False,-100.0
2021-05-29,HOU,SD,AWAY,0.7043118648468958,0.5891883929886581,0.11512347185823768,11.512347185823767,1.671,True,67.10000000000001
