date,home,away,side,line,model_prob,market_prob,edge,clv,odds,actual_total,won,push,profit
2022-04-09,PIT,WSH,UNDER,6.5,0.6006009858069143,0.5318441696582902,0.06875681614862417,6.875681614862417,1.833,9,False,False,-100.0
2022-04-09,DAL,NJD,UNDER,6.5,0.49723393623144196,0.4846158692312539,0.012618067000188082,1.2618067000188082,2.0,4,True,False,100.0
2022-04-09,STL,MIN,OVER,6.5,0.6168484377582215,0.48234613158402473,0.13450230617419678,13.450230617419678,2.01,7,True,False,100.99999999999997
2022-04-09,WPG,COL,UNDER,6.5,0.5801912596292362,0.5273760929869528,0.05281516664228347,5.281516664228347,1.847,9,False,False,-100.0
2022-04-09,CAR,NYI,UNDER,5.5,0.6453931466587974,0.485736352022849,0.15965679463594845,15.965679463594846,2.0,3,True,False,100.0
2022-04-09,FLA,BUF,UNDER,7.0,0.555382813847138,0.45884188308708823,0.09654093076004971,9.65409307600497,2.11,7,False,True,0.0
2022-04-09,TBL,BOS,UNDER,6.0,0.6385107001060968,0.5073180630596352,0.13119263704646156,13.119263704646155,1.917,3,True,False,91.7
2022-04-10,TBL,BUF,UNDER,6.5,0.5898950036707069,0.4524784507137848,0.13741655295692212,13.741655295692212,2.14,5,True,False,114.00000000000001
2022-04-10,MIN,LAK,UNDER,6.0,0.583242533449287,0.5170470409397847,0.0661954925095023,6.61954925095023,1.884,9,False,False,-100.0
2022-04-10,PIT,NSH,UNDER,6.5,0.5610320253077888,0.47528517110266155,0.08574685420512729,8.57468542051273,2.04,5,True,False,104.0
2022-04-10,WSH,BOS,UNDER,6.0,0.5978001130941517,0.5050428528860674,0.09275726020808428,9.275726020808428,1.925,6,False,True,0.0
2022-04-10,VGK,ARI,UNDER,6.0,0.6006856825841669,0.4786956500926276,0.12199003249153928,12.199003249153929,2.03,7,False,False,-100.0
2022-04-10,EDM,COL,UNDER,6.5,0.5311171109964063,0.48234613158402473,0.04877097941238162,4.877097941238162,2.01,3,True,False,100.99999999999997
2022-04-10,VAN,SJS,UNDER,6.0,0.7051103088660473,0.5340739158299509,0.1710363930360964,17.10363930360964,1.826,6,False,True,0.0
2022-04-10,STL,NYI,OVER,5.5,0.6009051754813267,0.5296133293082721,0.07129184617305462,7.129184617305462,1.84,7,True,False,84.00000000000001
2022-04-10,PHI,ANA,UNDER,6.0,0.6330136076896742,0.47528517110266155,0.15772843658701263,15.772843658701262,2.04,8,False,False,-100.0
2022-04-10,TOR,MTL,OVER,7.0,0.5086755999645098,0.4620132690210863,0.046662330943423536,4.666233094342354,2.1,5,False,False,-100.0
2022-04-10,NYR,OTT,UNDER,6.0,0.7345694572768018,0.5296133293082721,0.2049561279685297,20.495612796852967,1.84,6,False,True,0.0
2022-04-10,SEA,CGY,UNDER,6.0,0.6243514393436146,0.5239058226893133,0.1004456166543013,10.04456166543013,1.862,5,True,False,86.20000000000002
2022-04-10,DET,CBJ,OVER,6.5,0.6562515491465047,0.5383638047246807,0.11788774442182404,11.788774442182405,1.813,9,True,False,81.3
2022-04-10,NSH,FLA,UNDER,7.0,0.5314473816641938,0.48944751164885075,0.041999870015343055,4.199987001534305,1.98,5,True,False,98.0
2022-04-11,OTT,WPG,UNDER,6.5,0.6642940608355433,0.5158414922262687,0.14845256860927458,14.845256860927458,1.884,7,False,False,-100.0
2022-04-11,CHI,DAL,UNDER,6.0,0.5853955369413074,0.5227418857390786,0.06265365120222877,6.265365120222876,1.862,10,False,False,-100.0
2022-04-11,CAR,ANA,UNDER,6.0,0.6975599484747035,0.5273760929869528,0.17018385548775072,17.018385548775072,1.847,7,False,False,-100.0
2022-04-12,MTL,WPG,OVER,6.5,0.49283869742568814,0.485736352022849,0.007102345402839161,0.7102345402839161,2.0,6,False,False,-100.0
2022-04-13,ARI,NJD,OVER,6.5,0.5301769950903564,0.48814062355083254,0.04203637153952389,4.203637153952389,1.99,8,True,False,99.0
