date,home,away,side,model_prob,market_prob,edge,clv,odds,won,profit
2021-02-18,EDM,WPG,AWAY,0.46398105578017435,0.43545282739520824,0.028528228384966103,2.8528228384966106,2.23,False,-100.0
2021-02-18,CGY,VAN,HOME,0.7347148160159223,0.5995275722730489,0.1351872437428734,13.518724374287338,1.636,False,-100.0
2021-02-18,DET,CHI,AWAY,0.6112589470116938,0.5630123412305198,0.04824660578117401,4.824660578117401,1.74,True,74.0
2021-02-18,TOR,OTT,HOME,0.889800909860967,0.7395301025728253,0.1502708072881418,15.02708072881418,1.332,True,33.20000000000001
2021-02-19,ANA,MIN,HOME,0.49548313951911505,0.47065468066079924,0.024828458858315805,2.4828458858315807,2.07,False,-100.0
2021-02-19,ARI,LAK,HOME,0.6229578978380441,0.6196823508269661,0.003275547011078017,0.3275547011078017,1.584,False,-100.0
2021-02-19,ST ,SJS,HOME,0.6352514979240874,0.625375225135081,0.00987627278900638,0.987627278900638,1.571,True,57.099999999999994
2021-02-19,PHI,NYR,HOME,0.7245206770001118,0.5098165170355189,0.2147041599645929,21.47041599645929,1.917,False,-100.0
2021-02-19,WSH,BUF,HOME,0.6030967455381752,0.5995275722730489,0.003569173265126291,0.3569173265126291,1.636,True,63.59999999999999
2021-02-19,TOR,OTT,HOME,0.889800909860967,0.729181857955374,0.160619051905593,16.0619051905593,1.35,True,35.00000000000001
2021-02-19,BOS,NJD,HOME,0.7577564475007605,0.6611919969320691,0.09656445056869145,9.656445056869146,1.487,False,-100.0
2021-02-19,CBJ,NSH,HOME,0.6507126878095901,0.529638574636668,0.12107411317292216,12.107411317292216,1.847,True,84.7
2021-02-19,PIT,NYI,AWAY,0.4979001149168697,0.48809058961343227,0.009809525303437427,0.9809525303437427,2.0,False,-100.0
